,CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup,ProductGroup,OpJourneys,OpMiles
296,2016,2016/P05,2016/W20,eXpress,Peak,21413,637488
297,2016,2016/P05,2016/W20,Inter7City,Peak,60745,3281738
298,2016,2016/P05,2016/W20,Scenic,Peak,24584,892261
299,2016,2016/P05,2016/W20,West Suburban,Peak,279988,3791466
300,2016,2016/P05,2016/W21,East Suburban,Commuter,67265,1158897
301,2016,2016/P05,2016/W21,eXpress,Commuter,24696,616153
302,2016,2016/P05,2016/W21,Inter7City,Commuter,25430,679037
303,2016,2016/P05,2016/W21,Scenic,Commuter,9301,171988
304,2016,2016/P05,2016/W21,West Suburban,Commuter,286967,3263092
305,2016,2016/P05,2016/W21,East Suburban,Off-Peak,82201,1704755
306,2016,2016/P05,2016/W21,eXpress,Off-Peak,36071,1192483
307,2016,2016/P05,2016/W21,Inter7City,Off-Peak,83741,5597315
308,2016,2016/P05,2016/W21,Scenic,Off-Peak,39448,1795146
309,2016,2016/P05,2016/W21,West Suburban,Off-Peak,521169,6263860
310,2016,2016/P05,2016/W21,East Suburban,Peak,70361,1374007
311,2016,2016/P05,2016/W21,eXpress,Peak,21331,634899
312,2016,2016/P05,2016/W21,Inter7City,Peak,62414,3353248
313,2016,2016/P05,2016/W21,Scenic,Peak,25758,940950
314,2016,2016/P05,2016/W21,West Suburban,Peak,281070,3868608
315,2016,2016/P06,2016/W22,East Suburban,Commuter,57794,999632
316,2016,2016/P06,2016/W22,eXpress,Commuter,21209,531597
317,2016,2016/P06,2016/W22,Inter7City,Commuter,22356,594216
318,2016,2016/P06,2016/W22,Scenic,Commuter,8077,147748
319,2016,2016/P06,2016/W22,West Suburban,Commuter,253039,2860004
320,2016,2016/P06,2016/W22,East Suburban,Off-Peak,87766,1750302
321,2016,2016/P06,2016/W22,eXpress,Off-Peak,36097,1181613
322,2016,2016/P06,2016/W22,Inter7City,Off-Peak,84322,5581591
323,2016,2016/P06,2016/W22,Scenic,Off-Peak,40165,1604764
324,2016,2016/P06,2016/W22,West Suburban,Off-Peak,570976,7026419
325,2016,2016/P06,2016/W22,East Suburban,Peak,67492,1305466
326,2016,2016/P06,2016/W22,eXpress,Peak,19974,583637
327,2016,2016/P06,2016/W22,Inter7City,Peak,59016,3234085
328,2016,2016/P06,2016/W22,Scenic,Peak,25127,928648
329,2016,2016/P06,2016/W22,West Suburban,Peak,266532,3721366
330,2016,2016/P06,2016/W23,East Suburban,Commuter,65946,1135060
331,2016,2016/P06,2016/W23,eXpress,Commuter,24767,628318
332,2016,2016/P06,2016/W23,Inter7City,Commuter,24576,656146
333,2016,2016/P06,2016/W23,Scenic,Commuter,9090,165337
334,2016,2016/P06,2016/W23,West Suburban,Commuter,283196,3226501
