,dt,search_origin,search_destination,search_route,search_adult_count,search_child_count,search_cabin_class,search_type,search_departure_date,search_arrival_date,currency,amount,unit,operating_carrier,booking_type,iso_country_origin,CO2_emissions,CO2_per_flight,CO2_emissions_per_passenger
104,05/02/2022,ALC,EDI,ALC-EDI,1,0,ECONOMY,oneway,05/07/2022,,GBP,700,CENTI,-31915,REDIRECT,Spain,14486.07448,,78.30310529
105,05/02/2022,ALC,EDI,ALC-EDI,1,0,ECONOMY,oneway,05/07/2022,,GBP,700,CENTI,-31915,DIRECT_BOOKING,Spain,14486.07448,,78.30310529
106,05/02/2022,ALC,EDI,ALC-EDI,1,0,ECONOMY,oneway,13/06/2022,,GBP,6300,CENTI,-32174,REDIRECT,Spain,14486.07448,,78.30310529
107,05/02/2022,ALC,EDI,ALC-EDI,1,0,ECONOMY,oneway,13/06/2022,,GBP,6300,CENTI,-32174,BOOK_WITH_SKYSCANNER,Spain,14486.07448,,78.30310529
108,05/03/2021,ALC,EDI,ALC-EDI,1,0,ECONOMY,return,09/08/2021,09/11/2021,EUR,5900,CENTI,-31915,REDIRECT,Spain,14486.07448,,78.30310529
109,05/03/2021,ALC,EDI,ALC-EDI,1,0,ECONOMY,return,09/08/2021,09/11/2021,EUR,5900,CENTI,-31915,DIRECT_BOOKING,Spain,14486.07448,,78.30310529
110,05/02/2022,DLM,EDI,DLM-EDI,1,0,ECONOMY,oneway,05/03/2022,,GBP,9700,CENTI,-32356,REDIRECT,Turkey,23580.60558,,127.4627328
111,05/02/2022,DLM,EDI,DLM-EDI,1,0,ECONOMY,oneway,05/04/2022,,GBP,6600,CENTI,-32174,REDIRECT,Turkey,23580.60558,,127.4627328
112,05/02/2022,DLM,EDI,DLM-EDI,1,0,ECONOMY,oneway,05/04/2022,,GBP,6600,CENTI,-32174,DIRECT_BOOKING,Turkey,23580.60558,,127.4627328
113,05/02/2022,DLM,EDI,DLM-EDI,1,0,ECONOMY,oneway,05/04/2022,,GBP,6600,CENTI,-32174,BOOK_WITH_SKYSCANNER,Turkey,23580.60558,,127.4627328
